idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
1111X,-3.800431,2026-04-10T00:00:00+0000,0.0,50.96,4.7,3.0,291.0,43.491054,263.0,SANTANDER CMT,93.0,13.4,13.4,13.7,1016.7,0.5,13.5,1023.6,12.3,14.0,8.0,0.0,15.4,,,,4.6,291.0,0.0,2.9,0.8,9.0,295.0,15.4,,,,
1124E,-3.849351,2026-04-10T00:00:00+0000,0.0,195.7,2.5,0.1,49.0,43.2456,310.0,VILLACARRIEDO - SANTIBAÑEZ,93.0,11.5,11.7,12.1,,,,,,,,,,,,,,,,,,,,,,,,
1135C,-4.214141,2026-04-10T00:00:00+0000,0.0,460.0,0.9,0.3,99.0,43.146941,97.0,BÁRCENA MAYOR-TORIZ,94.0,9.0,9.0,10.4,,,,,,,,,,,,,,,,,,,,,,,,
1152C,-4.048612,2026-04-10T00:00:00+0000,0.0,105.0,1.7,0.4,162.0,43.271942,150.0,SAN FELICES DE BUELNA-TARRIBA,95.0,11.5,12.1,12.1,,,,,,,,,,,,,,,,,,,,,,,,
1154H,-4.027419,2026-04-10T00:00:00+0000,0.0,110.0,3.3,2.1,254.0,43.358515,260.0,TORRELAVEGA-SIERRAPANDO,92.0,12.2,12.4,12.4,,,,,,,,,,,,,,,,,,,,,,,,
1159,-4.392103,2026-04-10T00:00:00+0000,0.0,38.0,2.1,0.2,236.0,43.393456,229.0,SAN VICENTE  FARO,93.0,13.3,13.7,13.7,1018.9,,,1023.7,12.6,,,,,,,25.0,,,,,,,,,,,,
1167B,-4.812779,2026-04-10T00:00:00+0000,0.0,1100.0,0.1,0.0,257.0,43.143893,247.0,FUENTE DÉ-TELEFÉRICO,74.0,8.2,8.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,
1167J,-4.773842,2026-04-10T00:00:00+0000,,1721.85,2.4,0.6,144.0,43.089184,163.0,CORISCAO  PARQUE NACIONAL PICOS DE EUROPA,51.0,9.2,10.0,10.0,833.0,0.4,,1020.8,0.4,,39.0,,,,,,,,,,,,,,,,,
1174I,-4.601783,2026-04-10T00:00:00+0000,0.0,250.0,1.3,0.5,159.0,43.182862,135.0,TAMA,93.0,9.0,9.6,9.7,,,,,,,,,,,,,,,,,,,,,,,,
1176A,-4.668234,2026-04-10T00:00:00+0000,0.0,940.0,1.5,0.0,293.0,43.255713,17.0,TRESVISO,90.0,9.0,9.0,10.6,,,,,,,,,,,,,,,,,,,,,,,,
1178I,-4.820994,2026-04-10T00:00:00+0000,,1970.0,5.8,4.2,180.0,43.202495,199.0,VEGA DE URRIELLU  PARQUE NACIONAL PICOS DE EUROPA,50.0,8.3,9.7,10.0,808.4,0.3,,1019.7,-0.3,,8.0,,,,,,,,,,,,,,,,,
1178M,-4.921692,2026-04-10T00:00:00+0000,,1650.69,4.5,3.2,72.0,43.243922,72.0,VEGA DE ARIO  PARQUE NACIONAL PICOS DE EUROPA,58.0,9.8,9.8,11.1,840.3,0.5,,1021.4,1.9,,6.0,,,,,,,,,,,,,,,,,
1178R,-4.736775,2026-04-10T00:00:00+0000,0.0,1235.71,2.5,0.0,0.0,43.237387,90.0,SOTRES  PARQUE NACIONAL PICOS DE EUROPA,79.0,7.8,7.9,9.9,882.9,0.2,,1023.5,4.5,,12.0,,,,,,,,,,,,,,,,,
1178Y,-4.931762,2026-04-10T00:00:00+0000,0.0,953.0,,,,43.145376,,SOTO DE VALDEÓN (AUTOMATICA),92.0,7.0,7.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,
1179B,-4.852774,2026-04-10T00:00:00+0000,0.0,458.0,4.2,1.9,277.0,43.311112,262.0,CARREÑA DE CABRALES,100.0,10.9,10.9,11.0,,,,,,,,,,,,,,,,,,,,,,,,
